,Base Country,Base Country Lat,Base Country Lng,Relation Country,Relation Country Lat,Relation Country Lng,Men,Women,Children,Sex Trafficking,Forced Labor,Debt Bondage,Description
241,Equatorial Guinea,1.650801,10.267895,Guinea,9.945587,-9.696645,0,1,0,0,1,0," Chinese women migrate to Equatorial Guinea for work or to engage in prostitution, and some are subjected to passport confiscation, increasing their vulnerability to forced labor"
242,Equatorial Guinea,1.650801,10.267895,Ethiopia,9.145000000000001,40.489673,0,1,0,0,0,0, Civil society actors report that Ethiopian women are exploited for domestic servitude by family members in Malabo
243,Equatorial Guinea,1.650801,10.267895,Togo,8.619543,0.824782,0,0,1,0,1,0," Children from nearby countriesŠprimarily Nigeria, Benin, Cameroon, Togo, and GabonŠmay be subjected to forced labor as domestic workers, market laborers, vendors, and launderers"
244,Equatorial Guinea,1.650801,10.267895,Niger,17.607789,8.081666,0,0,1,0,1,0," Children from nearby countriesŠprimarily Nigeria, Benin, Cameroon, Togo, and GabonŠmay be subjected to forced labor as domestic workers, market laborers, vendors, and launderers"
245,Equatorial Guinea,1.650801,10.267895,Nigeria,9.081999,8.675277,0,0,1,0,1,0," Children from nearby countriesŠprimarily Nigeria, Benin, Cameroon, Togo, and GabonŠmay be subjected to forced labor as domestic workers, market laborers, vendors, and launderers"
246,Equatorial Guinea,1.650801,10.267895,Gabon,-0.803689,11.609444,0,0,1,0,1,0," Children from nearby countriesŠprimarily Nigeria, Benin, Cameroon, Togo, and GabonŠmay be subjected to forced labor as domestic workers, market laborers, vendors, and launderers"
247,Equatorial Guinea,1.650801,10.267895,Cameroon,7.369721999999999,12.354722,0,0,1,0,1,0," Children from nearby countriesŠprimarily Nigeria, Benin, Cameroon, Togo, and GabonŠmay be subjected to forced labor as domestic workers, market laborers, vendors, and launderers"
248,Equatorial Guinea,1.650801,10.267895,Benin,9.30769,2.315834,0,0,1,0,1,0," Children from nearby countriesŠprimarily Nigeria, Benin, Cameroon, Togo, and GabonŠmay be subjected to forced labor as domestic workers, market laborers, vendors, and launderers"
249,Equatorial Guinea,1.650801,10.267895,Guinea,9.945587,-9.696645,1,1,1,1,1,0,"As reported over the past five years, Equatorial Guinea is a source country for women and girls vulnerable to sex trafficking and a destination country for men, women, and children, who may be vulnerable to forced labor"
250,Eritrea,15.179384,39.782334,Israel,31.046051,34.851612,1,1,1,1,0,0," Smaller numbers of Eritrean women and girls are subjected to sex trafficking in Sudan; reportedly, some Eritrean men are vulnerable to sex trafficking in Israel"
251,Eritrea,15.179384,39.782334,Sudan,12.862807,30.217636,1,1,1,1,0,0," Smaller numbers of Eritrean women and girls are subjected to sex trafficking in Sudan; reportedly, some Eritrean men are vulnerable to sex trafficking in Israel"
252,Estonia,58.595272,25.0136071,Ukraine,48.379433,31.1655799,1,0,0,0,0,0," Men from Ukraine, Moldova, Belarus, and Georgia are subjected to labor exploitation within Estonia, particularly in construction, agriculture, and forestry"
253,Estonia,58.595272,25.0136071,Moldova,47.411631,28.369885,1,0,0,0,0,0," Men from Ukraine, Moldova, Belarus, and Georgia are subjected to labor exploitation within Estonia, particularly in construction, agriculture, and forestry"
254,Estonia,58.595272,25.0136071,Georgia,32.1656221,-82.9000751,1,0,0,0,0,0," Men from Ukraine, Moldova, Belarus, and Georgia are subjected to labor exploitation within Estonia, particularly in construction, agriculture, and forestry"
255,Estonia,58.595272,25.0136071,Belarus,53.709807,27.953389,1,0,0,0,0,0," Men from Ukraine, Moldova, Belarus, and Georgia are subjected to labor exploitation within Estonia, particularly in construction, agriculture, and forestry"
256,Eswatini,-26.522503,31.465866,South Africa,-30.559482,22.937506,0,0,1,1,0,0," Swazi girls, particularly orphans, are subjected to sex trafficking and domestic servitude, primarily in Eswatini and South Africa"
257,Eswatini,-26.522503,31.465866,South Africa,-30.559482,22.937506,0,1,0,0,1,0," Traffickers reportedly force Mozambican women into prostitution in Eswatini, or transport them through Eswatini to South Africa"
258,Eswatini,-26.522503,31.465866,South Africa,-30.559482,22.937506,0,1,0,0,1,0, Some Swazi women are forced into prostitution in South Africa after voluntarily migrating in search of work
259,Eswatini,-26.522503,31.465866,South Africa,-30.559482,22.937506,1,0,0,0,1,0, Swazi men in border communities are recruited for forced labor in South Africa's timber industry
260,Ethiopia,9.145000000000001,40.489673,Djibouti,11.825138,42.590275,0,0,1,0,1,0," Ethiopian boys are subjected to forced labor in Djibouti as shop assistants, errand boys, domestic workers, and street beggars, in addition to forced criminality"
261,Ethiopia,9.145000000000001,40.489673,Sudan,12.862807,30.217636,0,0,1,1,0,0," Ethiopian girls are exploited in domestic servitude and commercial sex in neighboring African countries, particularly Djibouti and Sudan"
262,Ethiopia,9.145000000000001,40.489673,Sudan,12.862807,30.217636,1,1,0,0,0,0," Typically, young men and women migrate west via Sudan aiming for Europe, while young women tend to travel through Eritrea or Djibouti to secure domestic work in Saudi Arabia"
263,Ethiopia,9.145000000000001,40.489673,Djibouti,11.825138,42.590275,0,0,1,1,0,0," Ethiopian girls are exploited in domestic servitude and commercial sex in neighboring African countries, particularly Djibouti and Sudan"
264,Ethiopia,9.145000000000001,40.489673,Eritrea,15.179384,39.782334,1,1,0,0,0,0," Typically, young men and women migrate west via Sudan aiming for Europe, while young women tend to travel through Eritrea or Djibouti to secure domestic work in Saudi Arabia"
265,Ethiopia,9.145000000000001,40.489673,Djibouti,11.825138,42.590275,1,1,0,0,0,0," Typically, young men and women migrate west via Sudan aiming for Europe, while young women tend to travel through Eritrea or Djibouti to secure domestic work in Saudi Arabia"
266,Ethiopia,9.145000000000001,40.489673,Saudi Arabia,23.885942,45.079162,1,1,0,0,0,0," Typically, young men and women migrate west via Sudan aiming for Europe, while young women tend to travel through Eritrea or Djibouti to secure domestic work in Saudi Arabia"
267,Fiji,-17.713371,178.065032,China,35.86166,104.195397,0,1,0,0,0,0," Women from China, Thailand, and other East Asian countries are exploited in illegal brothels posing as massage parlors and spas, local hotels, and private homes"
268,Fiji,-17.713371,178.065032,Thailand,15.870032,100.992541,0,1,0,0,0,0," Women from China, Thailand, and other East Asian countries are exploited in illegal brothels posing as massage parlors and spas, local hotels, and private homes"
269,Finland,61.92410999999999,25.7481511,Niger,17.607789,8.081666,0,1,0,1,0,0," Authorities report a surge in potential trafficking victims among rejected asylum-seekers returning to Finland under the Dublin Agreement, including a rise in the number of individuals exploited prior to their arrival in Finland, such as Nigerian women who account for the majority of sex trafficking victims"
270,Finland,61.92410999999999,25.7481511,Nigeria,9.081999,8.675277,0,1,0,1,0,0," Authorities report a surge in potential trafficking victims among rejected asylum-seekers returning to Finland under the Dublin Agreement, including a rise in the number of individuals exploited prior to their arrival in Finland, such as Nigerian women who account for the majority of sex trafficking victims"
271,France,46.227638,2.213749,United Kingdom,55.378051,-3.435973,0,0,1,0,1,0," Traffickers force children living in migrant camps in northern France to commit crimes, including facilitating smuggling to the United Kingdom"
272,France,46.227638,2.213749,Libya,26.3351,17.228331,0,0,1,0,0,0, Nigerian trafficking networks use migrant and drug trafficking routes through Libya and Italy to transport girls to France
273,France,46.227638,2.213749,Nigeria,9.081999,8.675277,0,0,1,0,0,0, Nigerian trafficking networks use migrant and drug trafficking routes through Libya and Italy to transport girls to France
274,France,46.227638,2.213749,Niger,17.607789,8.081666,0,0,1,0,0,0, Nigerian trafficking networks use migrant and drug trafficking routes through Libya and Italy to transport girls to France
275,France,46.227638,2.213749,Italy,41.87194,12.56738,0,0,1,0,0,0, Nigerian trafficking networks use migrant and drug trafficking routes through Libya and Italy to transport girls to France
276,France,46.227638,2.213749,Romania,45.943161,24.96676,0,1,0,1,1,1," Sex trafficking networks controlled by Nigerians, Bulgarians, Romanians, Chinese, and French citizens force women into prostitution through debt bondage, physical force, and psychological coercion, including the invocation of voodoo and drug addiction"
277,France,46.227638,2.213749,Nigeria,9.081999,8.675277,0,1,0,1,1,1," Sex trafficking networks controlled by Nigerians, Bulgarians, Romanians, Chinese, and French citizens force women into prostitution through debt bondage, physical force, and psychological coercion, including the invocation of voodoo and drug addiction"
278,France,46.227638,2.213749,Niger,17.607789,8.081666,0,1,0,1,1,1," Sex trafficking networks controlled by Nigerians, Bulgarians, Romanians, Chinese, and French citizens force women into prostitution through debt bondage, physical force, and psychological coercion, including the invocation of voodoo and drug addiction"
279,France,46.227638,2.213749,Bulgaria,42.733883,25.48583,0,1,0,1,1,1," Sex trafficking networks controlled by Nigerians, Bulgarians, Romanians, Chinese, and French citizens force women into prostitution through debt bondage, physical force, and psychological coercion, including the invocation of voodoo and drug addiction"
280,France,46.227638,2.213749,Romania,45.943161,24.96676,0,0,1,1,0,0," Children, primarily from Romania, West and North Africa, and the Middle East, are victims of sex trafficking in France"
281,Georgia,32.1656221,-82.9000751,Tajikistan,38.861034,71.276093,0,1,0,0,0,0," Georgia is also a transit country for women from Kyrgyzstan, Tajikistan, and Uzbekistan exploited in Turkey"
282,Georgia,32.1656221,-82.9000751,Uzbekistan,41.377491,64.585262,0,1,0,0,0,0," Georgia is also a transit country for women from Kyrgyzstan, Tajikistan, and Uzbekistan exploited in Turkey"
283,Georgia,32.1656221,-82.9000751,Azerbaijan,40.143105,47.576927,0,1,0,0,1,0," Women from Azerbaijan and Central Asia are subjected to forced prostitution in the tourist areas of the Adjara region and larger cities like Tbilisi and Batumi in saunas, brothels, bars, strip clubs, casinos, and hotels"
284,Georgia,32.1656221,-82.9000751,Cyprus,35.126413,33.429859,1,1,0,0,1,0," Georgian men and women are subjected to forced labor within Georgia and in Turkey, United Arab Emirates, Egypt, Cyprus, and Iraq"
285,Georgia,32.1656221,-82.9000751,Iraq,33.223191,43.679291,1,1,0,0,1,0," Georgian men and women are subjected to forced labor within Georgia and in Turkey, United Arab Emirates, Egypt, Cyprus, and Iraq"
286,Georgia,32.1656221,-82.9000751,Turkey,38.963745,35.243322,1,1,0,0,1,0," Georgian men and women are subjected to forced labor within Georgia and in Turkey, United Arab Emirates, Egypt, Cyprus, and Iraq"
287,Georgia,32.1656221,-82.9000751,United Arab Emirates,23.424076,53.847818,1,1,0,0,1,0," Georgian men and women are subjected to forced labor within Georgia and in Turkey, United Arab Emirates, Egypt, Cyprus, and Iraq"
288,Georgia,32.1656221,-82.9000751,United Arab Emirates,23.424076,53.847818,0,1,1,1,0,0," Women and girls from Georgia are subjected to sex trafficking within the country, in Turkey, and, to a lesser extent, in China and the United Arab Emirates"
289,Georgia,32.1656221,-82.9000751,Egypt,26.820553,30.802498,1,1,0,0,1,0," Georgian men and women are subjected to forced labor within Georgia and in Turkey, United Arab Emirates, Egypt, Cyprus, and Iraq"
290,Georgia,32.1656221,-82.9000751,Turkey,38.963745,35.243322,0,1,1,1,0,0," Women and girls from Georgia are subjected to sex trafficking within the country, in Turkey, and, to a lesser extent, in China and the United Arab Emirates"
291,Georgia,32.1656221,-82.9000751,Turkey,38.963745,35.243322,0,1,0,0,0,0," Georgia is also a transit country for women from Kyrgyzstan, Tajikistan, and Uzbekistan exploited in Turkey"
292,Georgia,32.1656221,-82.9000751,China,35.86166,104.195397,0,1,1,1,0,0," Women and girls from Georgia are subjected to sex trafficking within the country, in Turkey, and, to a lesser extent, in China and the United Arab Emirates"
293,Ghana,7.946527,-1.023194,Nigeria,9.081999,8.675277,0,1,1,0,0,1, Nigerian women and girls who are lured to Ghana by the promise of a good job are coerced into prostitution to pay exorbitant debts for transportation and lodging
294,Ghana,7.946527,-1.023194,Niger,17.607789,8.081666,0,1,1,0,0,1, Nigerian women and girls who are lured to Ghana by the promise of a good job are coerced into prostitution to pay exorbitant debts for transportation and lodging
295,Ghana,7.946527,-1.023194,United States,37.09024,-95.712891,1,1,0,0,1,0," In recent years, a few Ghanaian men and women were identified as victims of forced labor in the United States"
296,Greece,39.074208,21.824312,Romania,45.943161,24.96676,0,0,1,0,1,0," Economically marginalized Romani children from Albania, Bulgaria, and Romania are forced to sell goods on the street, beg, or commit petty theft in Greece"
297,Greece,39.074208,21.824312,Russia,61.52401,105.318756,0,1,1,1,0,0," Some women and children from Eastern and Southern Europe, South Asia, Russia, Nigeria, and China are subjected to sex trafficking in unlicensed brothels, on the street, in strip clubs, in massage salons, and in hotels"
298,Greece,39.074208,21.824312,Nigeria,9.081999,8.675277,0,1,1,1,0,0," Some women and children from Eastern and Southern Europe, South Asia, Russia, Nigeria, and China are subjected to sex trafficking in unlicensed brothels, on the street, in strip clubs, in massage salons, and in hotels"
299,Greece,39.074208,21.824312,Niger,17.607789,8.081666,0,1,1,1,0,0," Some women and children from Eastern and Southern Europe, South Asia, Russia, Nigeria, and China are subjected to sex trafficking in unlicensed brothels, on the street, in strip clubs, in massage salons, and in hotels"
300,Greece,39.074208,21.824312,China,35.86166,104.195397,0,1,1,1,0,0," Some women and children from Eastern and Southern Europe, South Asia, Russia, Nigeria, and China are subjected to sex trafficking in unlicensed brothels, on the street, in strip clubs, in massage salons, and in hotels"
301,Greece,39.074208,21.824312,Afghanistan,33.93911,67.709953,0,0,1,1,0,0," Unaccompanied children, primarily from Afghanistan, engage in survival sex and are vulnerable to trafficking"
302,Greece,39.074208,21.824312,Bulgaria,42.733883,25.48583,0,0,1,0,1,0," Economically marginalized Romani children from Albania, Bulgaria, and Romania are forced to sell goods on the street, beg, or commit petty theft in Greece"
303,Greece,39.074208,21.824312,Albania,41.153332,20.168331,0,0,1,0,1,0," Economically marginalized Romani children from Albania, Bulgaria, and Romania are forced to sell goods on the street, beg, or commit petty theft in Greece"
304,Guatemala,15.783471,-90.23075899999999,Mexico,23.634501,-102.552784,0,1,1,1,0,0," Guatemalan women, transgender persons, girls, and boys are exploited in sex trafficking within the country and in Mexico, the United States, Belize, and other foreign countries"
305,Guatemala,15.783471,-90.23075899999999,United States,37.09024,-95.712891,0,1,1,1,0,0," Guatemalan women, transgender persons, girls, and boys are exploited in sex trafficking within the country and in Mexico, the United States, Belize, and other foreign countries"
306,Guatemala,15.783471,-90.23075899999999,Canada,56.130366,-106.346771,1,0,1,1,0,0," Foreign child sex tourists, predominantly from Canada, the United States, and Western Europe, as well as Guatemalan men, patronize child sex trafficking victims for commercial sex acts"
307,Guatemala,15.783471,-90.23075899999999,United States,37.09024,-95.712891,0,1,1,1,0,0, Women and children from other Latin American countries and the United States are exploited in sex trafficking in Guatemala
308,Guatemala,15.783471,-90.23075899999999,Mexico,23.634501,-102.552784,1,1,1,0,1,0," Guatemalan men, women, and children are exploited in forced labor within the country, often in agriculture or domestic service, and in the garment industry, and domestic service in Mexico, the United States, and other countries"
309,Guatemala,15.783471,-90.23075899999999,United States,37.09024,-95.712891,1,1,1,0,1,0," Guatemalan men, women, and children are exploited in forced labor within the country, often in agriculture or domestic service, and in the garment industry, and domestic service in Mexico, the United States, and other countries"
310,Guatemala,15.783471,-90.23075899999999,Mexico,23.634501,-102.552784,0,0,1,0,1,0," Guatemalan children are exploited in forced begging and street vending, particularly within Guatemala City and along the border with Mexico"
311,Guatemala,15.783471,-90.23075899999999,Belize,17.189877,-88.49765,0,1,1,1,0,0," Guatemalan women, transgender persons, girls, and boys are exploited in sex trafficking within the country and in Mexico, the United States, Belize, and other foreign countries"
312,Guatemala,15.783471,-90.23075899999999,United States,37.09024,-95.712891,1,0,1,1,0,0," Foreign child sex tourists, predominantly from Canada, the United States, and Western Europe, as well as Guatemalan men, patronize child sex trafficking victims for commercial sex acts"
313,Guinea,9.945587,-9.696645,Finland,61.92410999999999,25.7481511,0,1,1,1,1,0," In previous years, authorities have identified Guinean forced labor victims in Finland, Guinean boys exploited in commercial sex in the Netherlands, and Thai and Chinese women in forced prostitution in Guinea"
314,Guinea,9.945587,-9.696645,Qatar,25.354826,51.183884,0,1,0,0,0,0," During the reporting period, several airline companies with service to North and East Africa and the Middle East began to serve Conakry; authorities identified an increased number of trafficking networks fraudulently recruiting Guinean, Liberian, and Sierra Leonean women for work abroad, using the Conakry airport to transport victims to exploitative situations in Kuwait and Qatar"
315,Guinea,9.945587,-9.696645,Liberia,6.428055,-9.429499000000002,0,1,0,0,0,0," During the reporting period, several airline companies with service to North and East Africa and the Middle East began to serve Conakry; authorities identified an increased number of trafficking networks fraudulently recruiting Guinean, Liberian, and Sierra Leonean women for work abroad, using the Conakry airport to transport victims to exploitative situations in Kuwait and Qatar"
316,Guinea,9.945587,-9.696645,Kuwait,29.31166,47.481766,0,1,0,0,0,0," During the reporting period, several airline companies with service to North and East Africa and the Middle East began to serve Conakry; authorities identified an increased number of trafficking networks fraudulently recruiting Guinean, Liberian, and Sierra Leonean women for work abroad, using the Conakry airport to transport victims to exploitative situations in Kuwait and Qatar"
317,Guinea,9.945587,-9.696645,Egypt,26.820553,30.802498,0,1,0,0,0,0, Guinean-Egyptian trafficking networks fraudulently recruit women for domestic work in Egypt and exploit them in prostitution
318,Guinea,9.945587,-9.696645,United States,37.09024,-95.712891,0,1,1,1,0,0," Guinean women and girls are victims of domestic servitude and sex trafficking in West Africa, Europe, and the Middle East, as well as the United States"
319,Guinea,9.945587,-9.696645,Cote d'Ivoire,7.539988999999999,-5.547079999999999,0,0,1,0,1,0, Guinean children are exploited in forced labor in Cote d'Ivoire
320,Guinea,9.945587,-9.696645,Senegal,14.497401,-14.452362,0,0,1,0,1,0," Some traffickers take children with parents' consent under the false pretenses of providing an education and exploit them in forced begging in Quranic schools in SenegalŠvia KoundaraŠMauritania, and Guinea-Bissau, or forced labor in West African gold mines"
321,Guinea,9.945587,-9.696645,Mauritania,21.00789,-10.940835,0,0,1,0,1,0," Some traffickers take children with parents' consent under the false pretenses of providing an education and exploit them in forced begging in Quranic schools in SenegalŠvia KoundaraŠMauritania, and Guinea-Bissau, or forced labor in West African gold mines"
322,Guinea,9.945587,-9.696645,Sierra Leone,8.460555,-11.779889,0,1,0,0,0,0," During the reporting period, several airline companies with service to North and East Africa and the Middle East began to serve Conakry; authorities identified an increased number of trafficking networks fraudulently recruiting Guinean, Liberian, and Sierra Leonean women for work abroad, using the Conakry airport to transport victims to exploitative situations in Kuwait and Qatar"
323,Guinea,9.945587,-9.696645,Guinea-Bissau,11.803749,-15.180413,0,0,1,0,1,0," Some traffickers take children with parents' consent under the false pretenses of providing an education and exploit them in forced begging in Quranic schools in SenegalŠvia KoundaraŠMauritania, and Guinea-Bissau, or forced labor in West African gold mines"
324,Guinea,9.945587,-9.696645,Netherlands,52.132633,5.291265999999999,0,1,1,1,1,0," In previous years, authorities have identified Guinean forced labor victims in Finland, Guinean boys exploited in commercial sex in the Netherlands, and Thai and Chinese women in forced prostitution in Guinea"
325,Guinea,9.945587,-9.696645,Angola,-11.202692,17.873887,1,0,1,0,0,0," There have been reports some Guinean men marry Guinean girls, take them to Angola, and sell the girls to local brothels while the men work in diamond mines"
326,Guinea-Bissau,11.803749,-15.180413,Sierra Leone,8.460555,-11.779889,0,0,1,0,1,0," Marabouts increasingly force Guinean, Gambian, and Sierra Leonean boys to beg in Bissau and exploit Guinea-Bissau's weak institutions and porous borders to transport large numbers of Bissau-Guinean boys to SenegalŠand to a lesser extent Mali, Guinea, and The GambiaŠfor forced begging in Quranic schools"
327,Guinea-Bissau,11.803749,-15.180413,Senegal,14.497401,-14.452362,0,0,1,0,1,0," Marabouts increasingly force Guinean, Gambian, and Sierra Leonean boys to beg in Bissau and exploit Guinea-Bissau's weak institutions and porous borders to transport large numbers of Bissau-Guinean boys to SenegalŠand to a lesser extent Mali, Guinea, and The GambiaŠfor forced begging in Quranic schools"
328,Guinea-Bissau,11.803749,-15.180413,Mali,17.570692,-3.996166,0,0,1,0,1,0," Marabouts increasingly force Guinean, Gambian, and Sierra Leonean boys to beg in Bissau and exploit Guinea-Bissau's weak institutions and porous borders to transport large numbers of Bissau-Guinean boys to SenegalŠand to a lesser extent Mali, Guinea, and The GambiaŠfor forced begging in Quranic schools"
329,Guinea-Bissau,11.803749,-15.180413,Guinea,9.945587,-9.696645,0,0,1,0,1,0," Marabouts increasingly force Guinean, Gambian, and Sierra Leonean boys to beg in Bissau and exploit Guinea-Bissau's weak institutions and porous borders to transport large numbers of Bissau-Guinean boys to SenegalŠand to a lesser extent Mali, Guinea, and The GambiaŠfor forced begging in Quranic schools"
330,Guinea-Bissau,11.803749,-15.180413,The Gambia,13.443182,-15.310139,0,0,1,0,1,0," Marabouts increasingly force Guinean, Gambian, and Sierra Leonean boys to beg in Bissau and exploit Guinea-Bissau's weak institutions and porous borders to transport large numbers of Bissau-Guinean boys to SenegalŠand to a lesser extent Mali, Guinea, and The GambiaŠfor forced begging in Quranic schools"
331,Guinea-Bissau,11.803749,-15.180413,Guinea,9.945587,-9.696645,0,0,1,0,0,0, Many Bissau-Guinean boys attend Quranic schools led by marabouts
332,Guinea-Bissau,11.803749,-15.180413,Guinea,9.945587,-9.696645,0,0,1,1,1,0,"As reported over the past five years, Guinea-Bissau is a source country for children subjected to forced labor and sex trafficking and a destination for West African boys exploited in forced labor, including forced begging"
333,Guinea-Bissau,11.803749,-15.180413,Guinea,9.945587,-9.696645,0,0,1,0,1,0," Bissau-Guinean boys are forced into street vending and forced labor in the agricultural and mining sectors in Senegal, especially in the southern cities of Kolda and Ziguinchor"
334,Guinea-Bissau,11.803749,-15.180413,Guinea,9.945587,-9.696645,0,0,1,0,1,0, Some Guinean boys are victims of forced labor in shoe shining in Guinea Bissau
335,Guinea-Bissau,11.803749,-15.180413,Guinea,9.945587,-9.696645,0,0,1,1,1,0," Bissau-Guinean girls from the BijagosŠand to a lesser extent mainland girls and boysŠare exploited in child sex tourism in the Bijagos, an archipelago off the coast of Guinea-Bissau that is far from the mainland and largely devoid of government and law enforcement presence"
336,Guinea-Bissau,11.803749,-15.180413,Guinea,9.945587,-9.696645,1,0,0,1,0,0, Bissau-Guinean men from the mainland fuel local demand for commercial sex on the islands
337,Guinea-Bissau,11.803749,-15.180413,Guinea,9.945587,-9.696645,0,0,1,1,0,0," Bissau-Guinean girls are exploited in domestic servitude and in sex trafficking in bars, nightclubs, and hotels in Bissau"
338,Guinea-Bissau,11.803749,-15.180413,Senegal,14.497401,-14.452362,0,0,1,1,0,0, Senegalese trafficking networks recruit Bissau-Guinean girls for modeling jobs or traveling football clubs but subject them to sex trafficking
339,Guinea-Bissau,11.803749,-15.180413,Guinea,9.945587,-9.696645,0,0,1,1,0,0, Senegalese trafficking networks recruit Bissau-Guinean girls for modeling jobs or traveling football clubs but subject them to sex trafficking
340,Guinea-Bissau,11.803749,-15.180413,Senegal,14.497401,-14.452362,0,0,1,1,1,0," Bissau-Guinean girls are victims of sex trafficking and forced labor in street vending and domestic work in Guinea, The Gambia, and Senegal"
341,Guinea-Bissau,11.803749,-15.180413,Senegal,14.497401,-14.452362,0,0,1,0,1,0," Bissau-Guinean boys are forced into street vending and forced labor in the agricultural and mining sectors in Senegal, especially in the southern cities of Kolda and Ziguinchor"
342,Guinea-Bissau,11.803749,-15.180413,Guinea,9.945587,-9.696645,0,0,1,1,1,0," Bissau-Guinean girls are victims of sex trafficking and forced labor in street vending and domestic work in Guinea, The Gambia, and Senegal"
343,Guinea-Bissau,11.803749,-15.180413,The Gambia,13.443182,-15.310139,0,0,1,1,1,0," Bissau-Guinean girls are victims of sex trafficking and forced labor in street vending and domestic work in Guinea, The Gambia, and Senegal"
344,Guinea-Bissau,11.803749,-15.180413,Guinea,9.945587,-9.696645,0,0,1,1,0,0," In most cases, French nationals own hotels on the islands and use Bissau-Guinean intermediaries to exploit island girls aged 13-17-years-old for French and Belgian child sex tourists"
345,Guinea-Bissau,11.803749,-15.180413,Guinea,9.945587,-9.696645,0,0,1,0,1,0," West African boys are forced to harvest cashews during Guinea-Bissau's annual harvest, and some are recruited for work in the harvest but instead are forced to beg"
346,Guyana,4.860416,-58.93018,Haiti,18.971187,-72.285215,0,1,1,1,0,0," Women and children from Guyana, Brazil, the Dominican Republic, Suriname, Haiti, and Venezuela are subjected to sex trafficking in mining communities in the interior and urban areas"
347,Guyana,4.860416,-58.93018,Suriname,3.919305,-56.027783,0,1,1,1,0,0," Women and children from Guyana, Brazil, the Dominican Republic, Suriname, Haiti, and Venezuela are subjected to sex trafficking in mining communities in the interior and urban areas"
348,Guyana,4.860416,-58.93018,Venezuela,6.42375,-66.58973,0,1,1,1,0,0," Women and children from Guyana, Brazil, the Dominican Republic, Suriname, Haiti, and Venezuela are subjected to sex trafficking in mining communities in the interior and urban areas"
349,Guyana,4.860416,-58.93018,Dominican Republic,18.735693,-70.162651,0,1,1,1,0,0," Women and children from Guyana, Brazil, the Dominican Republic, Suriname, Haiti, and Venezuela are subjected to sex trafficking in mining communities in the interior and urban areas"
350,Guyana,4.860416,-58.93018,Brazil,-14.235004,-51.92528,0,1,1,1,0,0," Women and children from Guyana, Brazil, the Dominican Republic, Suriname, Haiti, and Venezuela are subjected to sex trafficking in mining communities in the interior and urban areas"
351,Haiti,18.971187,-72.285215,The Bahamas,25.03428,-77.39627999999999,0,0,1,0,0,0," Other vulnerable populations include children in private and NGO-sponsored residential care centers; Haitian children working in construction, agriculture, fisheries, domestic work, and street vending in Haiti and the Dominican Republic; internally displaced persons including those displaced by Hurricane Matthew and the 2010 earthquake; members of female-headed, single-parent families, and families with many children; Haitians living near the border with the Dominican Republic; Haitian migrants, including those returning from the Dominican Republic, Brazil, Mexico, the United States, or The Bahamas; and LGBTI youth often left homeless and stigmatized by their families and society"
352,Haiti,18.971187,-72.285215,Brazil,-14.235004,-51.92528,0,0,1,0,0,0," Other vulnerable populations include children in private and NGO-sponsored residential care centers; Haitian children working in construction, agriculture, fisheries, domestic work, and street vending in Haiti and the Dominican Republic; internally displaced persons including those displaced by Hurricane Matthew and the 2010 earthquake; members of female-headed, single-parent families, and families with many children; Haitians living near the border with the Dominican Republic; Haitian migrants, including those returning from the Dominican Republic, Brazil, Mexico, the United States, or The Bahamas; and LGBTI youth often left homeless and stigmatized by their families and society"
353,Haiti,18.971187,-72.285215,Dominican Republic,18.735693,-70.162651,0,0,1,0,0,0," Other vulnerable populations include children in private and NGO-sponsored residential care centers; Haitian children working in construction, agriculture, fisheries, domestic work, and street vending in Haiti and the Dominican Republic; internally displaced persons including those displaced by Hurricane Matthew and the 2010 earthquake; members of female-headed, single-parent families, and families with many children; Haitians living near the border with the Dominican Republic; Haitian migrants, including those returning from the Dominican Republic, Brazil, Mexico, the United States, or The Bahamas; and LGBTI youth often left homeless and stigmatized by their families and society"
354,Haiti,18.971187,-72.285215,United States,37.09024,-95.712891,0,0,1,0,0,0," Other vulnerable populations include children in private and NGO-sponsored residential care centers; Haitian children working in construction, agriculture, fisheries, domestic work, and street vending in Haiti and the Dominican Republic; internally displaced persons including those displaced by Hurricane Matthew and the 2010 earthquake; members of female-headed, single-parent families, and families with many children; Haitians living near the border with the Dominican Republic; Haitian migrants, including those returning from the Dominican Republic, Brazil, Mexico, the United States, or The Bahamas; and LGBTI youth often left homeless and stigmatized by their families and society"
355,Haiti,18.971187,-72.285215,Dominican Republic,18.735693,-70.162651,1,1,1,0,1,0," Haitian adults and children are vulnerable to fraudulent labor recruitment and are subject to forced labor, primarily in the Dominican Republic, other Caribbean countries, South America, and the United States"
356,Haiti,18.971187,-72.285215,United States,37.09024,-95.712891,1,1,1,0,1,0," Haitian adults and children are vulnerable to fraudulent labor recruitment and are subject to forced labor, primarily in the Dominican Republic, other Caribbean countries, South America, and the United States"
357,Haiti,18.971187,-72.285215,Mexico,23.634501,-102.552784,0,0,1,0,0,0," Other vulnerable populations include children in private and NGO-sponsored residential care centers; Haitian children working in construction, agriculture, fisheries, domestic work, and street vending in Haiti and the Dominican Republic; internally displaced persons including those displaced by Hurricane Matthew and the 2010 earthquake; members of female-headed, single-parent families, and families with many children; Haitians living near the border with the Dominican Republic; Haitian migrants, including those returning from the Dominican Republic, Brazil, Mexico, the United States, or The Bahamas; and LGBTI youth often left homeless and stigmatized by their families and society"
